id,date_in,date_out,total_nights,total_price,createdat,updatedat,guestId,roomsId
1001,2021-09-03,2021-09-15,12,2256,2018-11-09,2018-11-02,98,335
1002,2024-02-04,2024-02-14,10,4860,2018-04-30,2018-06-14,91,321
1003,2019-11-25,2019-11-26,1,252,2018-08-23,2019-03-07,59,141
1004,2023-10-28,2023-11-12,15,6375,2019-02-03,2018-07-09,33,154
1005,2020-06-01,2020-06-07,6,1296,2018-06-10,2019-01-10,26,105
1006,2019-07-20,2019-07-21,1,314,2018-06-20,2019-01-25,294,235
1007,2020-08-09,2020-08-22,13,6318,2018-03-12,2018-10-03,140,137
1008,2021-01-28,2021-01-31,3,426,2018-12-06,2018-06-20,340,284
1009,2021-04-26,2021-05-04,8,2136,2018-09-26,2018-07-14,391,293
1010,2022-04-04,2022-04-13,9,1341,2018-03-08,2019-01-07,36,288
1011,2024-01-19,2024-02-03,15,3240,2019-02-25,2018-12-07,317,105
1012,2022-12-14,2022-12-16,2,234,2018-04-18,2018-11-27,275,185
1013,2020-01-28,2020-01-30,2,358,2018-12-25,2018-04-26,309,103
1014,2021-12-05,2021-12-19,14,4648,2018-08-25,2018-07-23,31,150
1015,2022-04-18,2022-04-20,2,606,2018-04-23,2018-03-29,238,202
1016,2023-08-28,2023-09-03,6,2322,2018-07-09,2019-01-03,322,194
1017,2020-01-20,2020-01-27,7,1246,2018-12-05,2018-07-25,301,131
1018,2023-10-21,2023-10-25,4,1940,2018-07-12,2018-08-20,162,205
1019,2022-11-27,2022-11-29,2,332,2018-12-06,2018-11-05,207,145
1020,2023-03-19,2023-03-24,5,2425,2018-12-28,2018-03-27,305,205
1021,2021-03-28,2021-03-30,2,488,2018-06-13,2018-06-05,174,364
1022,2021-02-17,2021-02-27,10,2860,2018-04-06,2018-07-10,132,163
1023,2023-12-22,2023-12-28,6,1050,2019-02-09,2019-02-09,28,320
1024,2018-04-20,2018-04-24,4,1296,2018-06-17,2018-05-11,7,275
1025,2023-07-14,2023-07-20,6,2904,2018-10-11,2018-05-20,282,164
1026,2023-04-03,2023-04-15,12,3288,2018-11-24,2018-11-04,106,215
1027,2020-12-30,2021-01-02,3,414,2019-02-07,2018-03-08,195,264
1028,2024-07-24,2024-07-28,4,824,2018-11-09,2018-07-24,245,304
1029,2023-08-12,2023-08-23,11,2541,2018-03-18,2018-06-18,224,327
1030,2022-03-05,2022-03-16,11,1254,2018-10-27,2018-08-02,214,143
1031,2018-08-04,2018-08-06,2,572,2018-05-02,2018-05-11,119,163
1032,2023-07-10,2023-07-16,6,2286,2018-10-25,2018-05-22,25,322
1033,2023-09-13,2023-09-16,3,1056,2018-05-03,2018-03-25,348,346
1034,2019-12-29,2020-01-04,6,1350,2018-06-29,2018-10-13,384,119
1035,2021-09-14,2021-09-15,1,425,2018-05-23,2018-09-15,306,312
1036,2019-02-07,2019-02-11,4,724,2018-11-19,2018-08-28,371,313
1037,2019-11-08,2019-11-17,9,2160,2019-01-06,2019-02-03,42,180
1038,2024-12-06,2024-12-17,11,4224,2018-10-15,2018-10-08,43,331
1039,2024-07-29,2024-08-04,6,1692,2019-01-18,2018-05-28,74,372
1040,2022-03-31,2022-04-09,9,2646,2018-05-12,2018-10-30,140,273
1041,2025-03-07,2025-03-15,8,2784,2018-04-29,2018-05-19,287,232
1042,2022-11-05,2022-11-10,5,1525,2018-06-11,2018-11-10,105,277
1043,2020-07-03,2020-07-15,12,3792,2018-09-04,2018-03-22,63,152
1044,2018-09-16,2018-09-22,6,1038,2019-02-18,2018-11-19,8,287
1045,2018-06-01,2018-06-11,10,3780,2018-09-20,2018-03-24,258,188
1046,2019-01-07,2019-01-20,13,5915,2018-07-14,2018-12-10,210,248
1047,2022-09-02,2022-09-17,15,5640,2018-07-29,2018-11-18,51,269
1048,2023-06-30,2023-07-03,3,1431,2018-07-03,2018-09-15,246,132
1049,2021-02-11,2021-02-13,2,294,2018-09-16,2018-07-20,98,225
1050,2024-01-04,2024-01-12,8,3176,2018-12-09,2019-02-04,285,102
1051,2023-12-03,2023-12-10,7,1624,2018-08-01,2018-09-25,387,291
1052,2019-04-01,2019-04-16,15,5640,2019-03-01,2018-06-10,44,269
