id,date_in,date_out,total_nights,total_price,createdAt,updatedAt,guestId,roomsId
2001,2019-03-11,2019-03-18,7,1764,2018-05-15,2018-07-18,399,135
2002,2019-03-14,2019-03-28,14,3220,2018-08-01,2018-05-31,143,344
2003,2019-03-10,2019-03-25,15,3510,2018-11-25,2018-10-06,333,178
2004,2019-03-14,2019-03-24,10,1780,2018-03-25,2018-06-29,66,131
2005,2019-03-11,2019-03-23,12,2724,2018-04-13,2019-01-25,294,332
2006,2019-03-15,2019-03-18,3,966,2018-06-19,2019-03-08,385,305
2007,2019-03-12,2019-03-18,6,2496,2018-03-20,2019-01-31,114,301
2008,2019-03-17,2019-03-25,8,3376,2018-07-28,2018-09-03,29,208
2009,2019-03-14,2019-03-27,13,5902,2018-06-15,2018-10-24,346,355
2010,2019-03-16,2019-03-25,9,990,2018-06-11,2019-01-22,234,129
2011,2019-03-13,2019-03-27,14,5152,2018-11-28,2018-05-03,214,373
2012,2019-03-16,2019-03-30,14,2506,2018-05-15,2018-05-30,163,103
2013,2019-03-17,2019-03-25,8,2256,2018-08-23,2018-10-26,379,372
2014,2019-03-11,2019-03-19,8,3360,2018-10-25,2018-08-08,37,130
2015,2019-03-15,2019-03-28,13,4550,2018-10-05,2018-08-31,392,300
2016,2019-03-13,2019-03-19,6,684,2018-06-15,2018-04-27,332,143
2017,2019-03-16,2019-03-28,12,4020,2018-12-14,2019-01-04,109,369
2018,2019-03-14,2019-03-17,3,1080,2018-11-15,2018-08-08,321,239
2019,2019-03-17,2019-03-19,2,854,2019-01-29,2018-04-21,135,399
2020,2019-03-15,2019-03-22,7,2275,2019-02-12,2018-06-27,56,160
2021,2019-03-10,2019-03-16,6,1572,2018-06-16,2018-07-06,1,209
2022,2019-03-16,2019-03-25,9,2466,2018-09-15,2018-12-17,163,215
2023,2019-03-16,2019-03-19,3,1482,2018-10-30,2018-12-15,136,238
2024,2019-03-11,2019-03-17,6,2502,2019-01-02,2018-07-12,8,115
2025,2019-03-11,2019-03-17,6,2304,2018-06-28,2018-12-13,65,331
2026,2019-03-10,2019-03-23,13,5525,2018-08-23,2019-01-19,329,338
2027,2019-03-10,2019-03-14,4,908,2018-04-17,2018-09-27,354,332
2028,2019-03-16,2019-03-18,2,814,2018-06-26,2018-05-05,322,207
2029,2019-03-10,2019-03-12,2,958,2018-05-16,2018-04-26,107,184
2030,2019-03-13,2019-03-23,10,2810,2019-01-08,2018-09-13,169,219
2031,2019-03-13,2019-03-20,7,1757,2018-05-24,2018-06-04,166,213
2032,2019-03-16,2019-03-31,15,5760,2018-04-26,2019-01-31,27,331
2033,2019-03-12,2019-03-21,9,3114,2018-05-17,2018-06-05,267,362
2034,2019-03-13,2019-03-17,4,1912,2018-07-12,2018-12-26,378,254
2035,2019-03-17,2019-03-21,4,1816,2019-02-18,2019-01-02,276,355
2036,2019-03-11,2019-03-19,8,1728,2018-09-22,2019-01-14,159,105
2037,2019-03-17,2019-03-24,7,917,2018-03-31,2019-01-31,261,236
2038,2019-03-14,2019-03-18,4,412,2018-10-28,2019-01-11,368,285
2039,2019-03-11,2019-03-26,15,1575,2018-07-25,2018-07-08,321,106
2040,2019-03-10,2019-03-14,4,572,2018-12-07,2018-08-07,55,280
2041,2019-03-13,2019-03-19,6,1422,2018-03-25,2018-10-30,84,276
2042,2019-03-16,2019-03-21,5,1750,2019-01-28,2018-10-01,93,295
2043,2019-03-17,2019-03-19,2,702,2018-06-08,2018-10-31,294,271
2044,2019-03-12,2019-03-20,8,3456,2019-01-16,2018-04-06,20,281
2045,2019-03-15,2019-03-19,4,500,2018-05-21,2018-12-06,339,222
2046,2019-03-16,2019-03-23,7,3493,2018-09-16,2018-08-21,354,299
2047,2019-03-16,2019-03-28,12,5040,2018-05-24,2019-03-08,373,130
2048,2019-03-16,2019-03-26,10,3140,2019-03-05,2018-07-29,248,235
2049,2019-03-16,2019-03-18,2,664,2019-02-23,2018-12-07,87,150
2050,2019-03-13,2019-03-19,6,1890,2018-07-17,2019-02-20,83,365
2051,2019-03-14,2019-03-16,2,460,2018-07-08,2019-02-17,316,344
2052,2019-03-15,2019-03-28,13,5655,2018-07-08,2018-04-29,320,337
2053,2019-03-12,2019-03-27,15,7185,2019-02-01,2019-01-15,166,184
2054,2019-03-11,2019-03-20,9,1323,2018-06-21,2018-08-08,219,265
2055,2019-03-16,2019-03-23,7,2632,2018-11-14,2019-03-06,324,269
2056,2019-03-15,2019-03-26,11,4257,2018-05-28,2018-10-29,3,378
2057,2019-03-17,2019-04-01,15,6825,2019-03-02,2018-10-15,68,248
2058,2019-03-17,2019-03-26,9,2448,2018-07-24,2018-11-19,88,400
2059,2019-03-14,2019-03-25,11,3179,2018-09-23,2018-07-05,132,177
2060,2019-03-15,2019-03-28,13,4355,2018-04-01,2018-08-31,11,369
2061,2019-03-15,2019-03-17,2,732,2018-04-10,2018-03-24,68,101
2062,2019-03-11,2019-03-22,11,3289,2018-05-06,2018-04-16,111,358
2063,2019-03-12,2019-03-16,4,1552,2018-11-05,2018-10-29,351,318
2064,2019-03-17,2019-03-27,10,4250,2018-11-23,2018-11-17,91,338
2065,2019-03-10,2019-03-13,3,1164,2018-07-19,2019-01-21,375,318
2066,2019-03-15,2019-03-25,10,3190,2018-03-11,2018-11-01,153,156
2067,2019-03-12,2019-03-25,13,3042,2018-04-30,2018-07-12,221,178
2068,2019-03-15,2019-03-30,15,1980,2019-02-12,2018-12-07,324,274
2069,2019-03-17,2019-03-19,2,356,2018-12-20,2018-08-17,246,131
2070,2019-03-11,2019-03-15,4,1096,2018-06-13,2018-05-15,161,290
2071,2019-03-17,2019-03-20,3,657,2018-06-12,2019-01-01,124,349
2072,2019-03-17,2019-03-20,3,867,2018-08-26,2018-08-19,380,255
2073,2019-03-16,2019-03-26,10,2340,2018-11-02,2018-07-06,265,178
2074,2019-03-11,2019-03-25,14,1652,2018-12-08,2018-12-18,85,140
2075,2019-03-12,2019-03-16,4,668,2018-06-08,2018-11-20,53,134
2076,2019-03-11,2019-03-25,14,5698,2018-03-26,2018-09-29,397,279
2077,2019-03-16,2019-03-30,14,4844,2018-08-05,2018-03-28,36,362
2078,2019-03-11,2019-03-14,3,543,2018-09-17,2019-02-09,316,313
2079,2019-03-15,2019-03-24,9,4356,2018-05-15,2019-01-27,1,164
2080,2019-03-17,2019-03-23,6,2472,2019-01-26,2018-11-03,314,394
2081,2019-03-14,2019-03-19,5,2365,2019-01-16,2018-05-10,358,396
2082,2019-03-17,2019-03-27,10,4860,2018-06-09,2018-04-30,361,356
2083,2019-03-17,2019-03-28,11,3564,2019-01-12,2018-03-26,308,275
2084,2019-03-11,2019-03-24,13,5772,2018-11-07,2019-01-12,330,303
2085,2019-03-12,2019-03-19,7,3150,2018-10-27,2019-01-22,260,379
2086,2019-03-13,2019-03-23,10,2360,2018-07-11,2019-02-22,166,196
2087,2019-03-17,2019-03-20,3,1128,2018-06-09,2018-07-08,347,317
2088,2019-03-12,2019-03-23,11,4840,2019-02-12,2018-07-05,49,268
2089,2019-03-12,2019-03-23,11,1441,2018-11-07,2018-08-06,305,236
2090,2019-03-10,2019-03-12,2,524,2018-08-04,2018-07-12,174,155
2091,2019-03-15,2019-03-18,3,552,2018-04-07,2018-11-22,295,240
2092,2019-03-11,2019-03-19,8,2880,2019-01-03,2018-05-11,270,239
2093,2019-03-11,2019-03-20,9,2466,2018-11-24,2018-08-02,39,290
2094,2019-03-12,2019-03-17,5,820,2018-05-31,2018-07-16,95,385
2095,2019-03-12,2019-03-19,7,3409,2018-06-13,2018-11-19,11,221
2096,2019-03-13,2019-03-23,10,2060,2018-11-03,2018-12-26,320,304
2097,2019-03-15,2019-03-20,5,2045,2019-01-12,2018-03-28,200,173
2098,2019-03-15,2019-03-26,11,2651,2018-12-21,2018-07-31,30,190
2099,2019-03-16,2019-03-20,4,1144,2018-12-12,2019-02-18,229,163
2100,2019-03-16,2019-03-27,11,3443,2018-09-03,2018-04-03,313,340
2101,2019-03-12,2019-03-20,8,2536,2019-01-02,2018-04-18,35,397
2102,2019-03-14,2019-03-29,15,2130,2018-05-28,2019-01-08,275,284
2103,2019-03-11,2019-03-21,10,2810,2018-10-05,2018-04-05,155,219
2104,2019-03-13,2019-03-18,5,2150,2018-05-17,2019-02-09,65,157
2105,2019-03-13,2019-03-17,4,572,2018-06-27,2019-02-06,350,280
2106,2019-03-12,2019-03-17,5,1335,2018-06-14,2018-12-18,387,293
2107,2019-03-12,2019-03-19,7,2793,2018-09-01,2019-02-13,138,270
2108,2019-03-10,2019-03-19,9,1251,2019-01-01,2018-08-19,251,391
2109,2019-03-11,2019-03-16,5,2495,2019-02-19,2018-09-20,314,299
2110,2019-03-10,2019-03-13,3,711,2018-12-02,2018-10-08,397,276
2111,2019-03-16,2019-03-27,11,1518,2018-05-04,2019-02-02,284,264
2112,2019-03-16,2019-03-26,10,4950,2018-05-01,2018-07-31,120,175
2113,2019-03-15,2019-03-22,7,2324,2018-07-07,2019-02-05,14,150
2114,2019-03-13,2019-03-16,3,1434,2019-01-11,2018-07-06,181,254
2115,2019-03-12,2019-03-24,12,2220,2018-12-03,2018-05-17,274,126
2116,2019-03-11,2019-03-25,14,6804,2018-11-28,2018-12-01,315,137
2117,2019-03-13,2019-03-20,7,2597,2018-08-11,2018-05-01,303,109
2118,2019-03-10,2019-03-15,5,1445,2018-09-13,2018-11-12,289,199
2119,2019-03-10,2019-03-14,4,420,2018-03-18,2019-01-28,228,106
2120,2019-03-11,2019-03-20,9,3132,2019-03-04,2018-04-04,116,232
2121,2019-03-12,2019-03-20,8,3480,2018-06-29,2018-10-11,343,337
2122,2019-03-11,2019-03-17,6,2010,2018-10-12,2019-02-03,44,369
2123,2019-03-13,2019-03-20,7,1246,2018-12-17,2019-02-26,281,131
2124,2019-03-13,2019-03-25,12,5628,2018-06-16,2018-03-28,317,350
2125,2019-03-15,2019-03-21,6,1314,2018-07-01,2018-08-06,222,349
2126,2019-03-15,2019-03-25,10,2860,2019-01-10,2018-07-22,260,163
2127,2019-03-11,2019-03-17,6,1830,2019-02-04,2018-03-18,224,277
2128,2019-03-12,2019-03-17,5,815,2018-06-04,2018-09-29,260,263
2129,2019-03-15,2019-03-17,2,244,2018-11-12,2018-03-28,198,392
2130,2019-03-14,2019-03-26,12,2688,2019-02-21,2018-06-29,161,230
2131,2019-03-11,2019-03-17,6,2580,2018-05-03,2018-05-13,357,157
2132,2019-03-12,2019-03-19,7,2597,2018-09-20,2018-03-12,144,272
2133,2019-03-17,2019-03-21,4,1720,2018-07-29,2018-09-08,256,157
2134,2019-03-16,2019-03-18,2,368,2018-11-17,2018-12-04,225,252
2135,2019-03-17,2019-03-27,10,4630,2018-09-17,2018-06-01,304,366
2136,2019-03-10,2019-03-16,6,1788,2018-08-20,2018-11-23,40,249
2137,2019-03-16,2019-03-20,4,812,2018-10-08,2019-01-17,354,146
2138,2019-03-17,2019-03-21,4,952,2018-03-15,2019-03-03,57,224
2139,2019-03-16,2019-03-23,7,2387,2018-05-24,2018-08-01,60,278
2140,2019-03-14,2019-03-20,6,2730,2018-12-09,2018-08-16,265,258
2141,2019-03-15,2019-03-24,9,3168,2018-09-06,2018-10-26,165,346
2142,2019-03-16,2019-03-28,12,4200,2019-02-25,2018-04-15,230,159
2143,2019-03-17,2019-03-30,13,3666,2019-02-05,2018-04-01,251,372
2144,2019-03-14,2019-03-17,3,858,2018-05-29,2018-09-01,335,163
2145,2019-03-17,2019-03-19,2,996,2018-09-18,2018-03-16,180,257
2146,2019-03-14,2019-03-19,5,925,2019-02-22,2018-06-28,108,126
2147,2019-03-11,2019-03-20,9,3843,2018-09-28,2018-09-16,379,399
2148,2019-03-15,2019-03-28,13,2249,2018-12-03,2018-08-16,252,287
2149,2019-03-16,2019-03-31,15,1965,2018-04-03,2018-05-12,369,236
2150,2019-03-15,2019-03-17,2,720,2019-01-01,2018-09-16,277,239
2151,2019-03-12,2019-03-17,5,2435,2018-10-16,2019-01-01,312,221
2152,2019-03-17,2019-03-29,12,2724,2018-06-23,2018-03-19,386,133
2153,2019-03-16,2019-03-28,12,2844,2018-08-09,2018-08-27,119,276
2154,2019-03-14,2019-03-26,12,2880,2019-03-07,2018-12-26,340,180
2155,2019-03-16,2019-03-27,11,3421,2018-12-09,2018-11-03,65,111
2156,2019-03-16,2019-03-26,10,2270,2018-06-20,2018-12-09,70,332
2157,2019-03-16,2019-03-21,5,865,2018-11-23,2019-01-10,352,287
2158,2019-03-16,2019-03-30,14,3808,2018-08-20,2018-07-16,87,400
2159,2019-03-11,2019-03-14,3,957,2019-02-24,2019-02-14,153,156
2160,2019-03-14,2019-03-19,5,900,2018-06-16,2018-05-07,363,107
2161,2019-03-16,2019-03-30,14,5950,2018-09-29,2018-10-30,62,154
2162,2019-03-12,2019-03-23,11,4576,2019-01-21,2018-07-08,113,301
2163,2019-03-14,2019-03-18,4,1048,2018-12-18,2018-12-06,95,209
2164,2019-03-11,2019-03-23,12,3864,2018-08-17,2019-02-23,126,203
2165,2019-03-17,2019-03-22,5,1405,2019-01-13,2018-12-30,162,219
2166,2019-03-16,2019-03-22,6,1992,2018-10-12,2018-04-25,283,211
2167,2019-03-11,2019-03-20,9,2601,2018-09-11,2018-12-11,156,199
2168,2019-03-12,2019-03-26,14,6482,2018-11-27,2018-04-17,200,120
2169,2019-03-16,2019-03-21,5,895,2018-07-11,2018-10-20,321,103
2170,2019-03-10,2019-03-18,8,2520,2018-03-18,2019-02-04,27,365
2171,2019-03-11,2019-03-24,13,5044,2019-01-21,2018-06-25,127,318
